source,target,weight
AHRQ_AbdominalHernia_DT,AHRQ_OthSkinDO_DT,0.129100848329028
AHRQ_AbdominalHernia_DT,AHRQ_OthUpperRespiratoryDs_DT,0.108834998594274
AHRQ_AbdominalHernia_DT,AHRQ_PancreaticDO_DT,0.243862078155851
AHRQ_AbdominalHernia_DT,AHRQ_Paralysis_DT,-0.560562373852523
AHRQ_AbdominalHernia_DT,AHRQ_PathologicalFracture_DT,-0.609801325219128
AHRQ_AbdominalHernia_DT,AHRQ_PersonalityDO_DT,0.186015162358354
AHRQ_AbdominalHernia_DT,AHRQ_Pleurisy_DT,-0.511039060671319
AHRQ_AbdominalHernia_DT,AHRQ_Poisoning_DT,-0.0294402067307673
AHRQ_AbdominalHernia_DT,AHRQ_RespiratoryFailure_DT,-1.15890451596811
AHRQ_AbdominalHernia_DT,AHRQ_RespiratoryInfections_DT,0.350817867637054
AHRQ_AbdominalHernia_DT,AHRQ_SkinInfections_DT,0.107169620526947
AHRQ_AbdominalHernia_DT,AHRQ_SpinalCordInjury_DT,-0.991887730832417
AHRQ_AbdominalHernia_DT,AHRQ_Spondylosis_DT,0.112043746949404
AHRQ_AbdominalHernia_DT,AHRQ_SprainsAndStrains_DT,0.2093626319091
AHRQ_AbdominalHernia_DT,AHRQ_SuicideAndSelfInjury_DT,-0.123225602419814
AHRQ_AbdominalHernia_DT,AHRQ_SuperficialInjury_DT,0.0911302340353517
AHRQ_AbdominalHernia_DT,AHRQ_SystemicLupus_DT,-0.296192442855019
AHRQ_AbdominalHernia_DT,AHRQ_ThyroidDO_DT,-0.144086809235159
AHRQ_AbdominalHernia_DT,AHRQ_UpperGIDO_DT,1.24640881789201
AHRQ_AbdominalHernia_DT,AHRQ_ViralInfection_DT,0.137657109830592
AHRQ_AbdominalHernia_DT,NEPEC_DXALC_DT,-0.592427972229191
AHRQ_AbdominalHernia_DT,NEPEC_DXDRG_DT,0.177093067921032
AHRQ_AbdominalHernia_DT,NEPEC_SCHZ_DT,0.107212122254616
AHRQ_AbdominalHernia_DT,NEPEC_MDD_DT,-0.498739714299747
AHRQ_AbdominalHernia_DT,NEPEC_AFBPDX_DT,0.193681280185652
AHRQ_AbdominalHernia_DT,NEPEC_PTSD_DT,0.218394348557051
AHRQ_AbdominalHernia_DT,NEPEC_DXODep_DT,0.566455195640146
AHRQ_AbdominalHernia_DT,NEPEC_ANXunsp_DT,-0.19006778888276
AHRQ_AbdominalHernia_DT,NEPEC_ANXgen_DT,-0.187180055501366
AHRQ_AbdominalHernia_DT,dmdxDT,-0.258790584001268
AHRQ_AbdominalHernia_DT,cancerdxDT,0.0987473442797239
AHRQ_AbdominalHernia_DT,anomdxDT,0.0051155744148088
AHRQ_AbdominalHernia_DT,genitaldxDT,0.170253984885914
AHRQ_AcquiredDeformities_DT,AHRQ_AbdominalHernia_DT,-0.029976506774631
AHRQ_AcquiredDeformities_DT,AHRQ_AdjustmentDO_DT,-0.0259562567753548
AHRQ_AcquiredDeformities_DT,AHRQ_Anemia_DT,-0.438555028913218
AHRQ_AcquiredDeformities_DT,AHRQ_Asthma_DT,0.0249191307603608
AHRQ_AcquiredDeformities_DT,AHRQ_AttentionDeficitDO_DT,-0.0688683360737676
AHRQ_AcquiredDeformities_DT,AHRQ_BacterialInfection_DT,-0.481754845070192
AHRQ_AcquiredDeformities_DT,AHRQ_BiliaryTractDs_DT,-0.470740721969514
AHRQ_AcquiredDeformities_DT,AHRQ_Burns_DT,0.465003197211859
AHRQ_AcquiredDeformities_DT,AHRQ_CNSInfection_DT,-0.437117010725729
AHRQ_AcquiredDeformities_DT,AHRQ_CerebrovascularDs_DT,-0.291921764256879
AHRQ_AcquiredDeformities_DT,AHRQ_COPDAndBronchiectasis_DT,-0.215005568749992
AHRQ_AcquiredDeformities_DT,AHRQ_ChronicUlcerOfSkin_DT,0.0182108476319438
AHRQ_AcquiredDeformities_DT,AHRQ_CoagulationDO_DT,-1.09409009304533
AHRQ_AcquiredDeformities_DT,AHRQ_ComaBrainDamage_DT,-0.149384868247656
AHRQ_AcquiredDeformities_DT,AHRQ_CrushingInjuryOrInternalIn0,0.639755145921048
AHRQ_AcquiredDeformities_DT,AHRQ_DementiaAndOthDO_DT,0.559470023140006
AHRQ_AcquiredDeformities_DT,AHRQ_DevelopmentalDO_DT,0.154288846288173
AHRQ_AcquiredDeformities_DT,AHRQ_DisOfArteries_DT,-0.149388445802324
AHRQ_AcquiredDeformities_DT,AHRQ_DisOfMouth_DT,-0.336567443967685
AHRQ_AcquiredDeformities_DT,AHRQ_DisOfTheHeart_DT,-0.184576330788615
AHRQ_AcquiredDeformities_DT,AHRQ_DisOfTheUrinarySystem_DT,-0.218619902787095
AHRQ_AcquiredDeformities_DT,AHRQ_DisOfVeins_DT,-0.0387383875866985
AHRQ_AcquiredDeformities_DT,AHRQ_DisOfWhiteBloodCells_DT,-0.739454876273932
AHRQ_AcquiredDeformities_DT,AHRQ_DOOfLipidMetabolism_DT,-0.0221749034600691
AHRQ_AcquiredDeformities_DT,AHRQ_DOOfTeethAndJaw_DT,0.211415872927813
AHRQ_AcquiredDeformities_DT,AHRQ_DOInChildhood_DT,-0.089074231611303
AHRQ_AcquiredDeformities_DT,AHRQ_EarConditions_DT,0.192978541079802
AHRQ_AcquiredDeformities_DT,AHRQ_EpilepsyConvulsions_DT,-0.31132838110758
AHRQ_AcquiredDeformities_DT,AHRQ_EyeDO_DT,0.15484150251279
AHRQ_AcquiredDeformities_DT,AHRQ_FluidAndElectrolyteDO_DT,-0.822454408612936
AHRQ_AcquiredDeformities_DT,AHRQ_Fractures_DT,0.429361849845348
AHRQ_AcquiredDeformities_DT,AHRQ_GIHemorrhage_DT,-0.0772597431917349
AHRQ_AcquiredDeformities_DT,AHRQ_GoutAndOth_DT,-0.0056186041235352
AHRQ_AcquiredDeformities_DT,AHRQ_Headache_DT,0.0705360518578156
AHRQ_AcquiredDeformities_DT,AHRQ_NSConditions_DT,-0.264091788730603
AHRQ_AcquiredDeformities_DT,AHRQ_Hypertension_DT,-0.118579780814685
AHRQ_AcquiredDeformities_DT,AHRQ_ImmunityDO_DT,-1.75418883373593
AHRQ_AcquiredDeformities_DT,AHRQ_ImpulseControlDONEC_DT,0.053009198098574
AHRQ_AcquiredDeformities_DT,AHRQ_InfectiveArthritis_DT,0.106217959185556
AHRQ_AcquiredDeformities_DT,AHRQ_IntestinalInfection_DT,-0.707313741175605
AHRQ_AcquiredDeformities_DT,AHRQ_IntracranialInjury_DT,-0.0999227705243544
AHRQ_AcquiredDeformities_DT,AHRQ_JointDisorderTraumarelated_,0.568477851317408
AHRQ_AcquiredDeformities_DT,AHRQ_LiverDs_DT,-0.0973081099009911
AHRQ_AcquiredDeformities_DT,AHRQ_LowerGIDO_DT,-0.339236082277113
AHRQ_AcquiredDeformities_DT,AHRQ_Mycoses_DT,0.527352167464351
AHRQ_AcquiredDeformities_DT,AHRQ_NontraumaticJointDO_DT,0.795778010248096
